model_num,test_acc,test_loss,train_acc,train_loss,g_gap,mqBE_L1,mqBE_L2,mqBE_L3,mqBE_L4,mqBE_L5,mqAE_L1,mqAE_L2,mqAE_L3,mqAE_L4,mqAE_L5,erBE_L1,erBE_L2,erBE_L3,erBE_L4,erBE_L5,erAE_L1,erAE_L2,erAE_L3,erAE_L4,erAE_L5
10545,0.9137000000000001,0.30907727146148684,0.98698,0.04803538979291916,-0.07327999999999989,0.5748777899330694,0.6056992266994318,0.5499553648941962,0.5414377903903452,0.5278477779267485,0.3459786348437036,0.4545656671869951,0.29176749363205784,0.2775385330421972,0.2519760669871332,3.2176826,3.2817822830787797,3.122683079616382,3.4831424942283573,3.4516845144061192,1.867002,1.9065061008236492,1.8168226132367142,1.8759345146917528,1.840205044383967
10547,0.9176000000000001,0.29534330081939697,0.9915600000000001,0.034394886980056764,-0.07396000000000001,0.5405709821227296,0.5733942299690317,0.5120712707826973,0.5315696954762404,0.5134724322784034,0.2781489432689561,0.3517845386585775,0.2472701474182596,0.24374717116260727,0.23272156869471688,3.3038507,3.3603560961486565,3.2133025544454434,3.5115989786498627,3.4868747681333394,1.9194113,1.9745424550443131,1.8536709759682035,1.9020904647132564,1.8388364760099511
1057,0.8686,0.40098972935676575,0.90766,0.26826562514305113,-0.03906000000000006,0.6182501143654306,0.650713115538868,0.5905749017051378,0.5683490251141657,0.551201286327805,0.8267972072049836,0.9717079177250592,0.6684849416742348,0.7610006121144064,0.5876713424883782,2.4159675,2.5152905778173955,2.3126687370159975,2.9011999361286223,2.8099321916429867,1.2892259,1.4163652468043095,1.1531338979905783,1.2539737323919933,1.1172539630340748
10586,0.9145,0.30234974298477174,0.98834,0.045172349232435224,-0.07384,0.553792005204399,0.586677486148843,0.5273362931915497,0.5329968417977271,0.5177846496860976,0.3614259919882248,0.5033657641503685,0.2923689645876244,0.31313016912906755,0.2660495150766156,3.2214847,3.2737958865756576,3.1380751744855537,3.416135228611826,3.3929025520605527,1.9227626,1.961213806258747,1.872642842930532,1.9153627423863662,1.8682806468547895
10592,0.9134,0.31862696161270143,0.98638,0.04985209432482719,-0.07298000000000002,0.5714896930674662,0.6022516437286636,0.5451687212332841,0.5204002417585895,0.5063703287015304,0.41638082624178296,0.5778728120181917,0.31733698135933003,0.2814607796859987,0.24916778878002233,3.0948045,3.181661605309916,2.9738749768045607,3.4364750211313986,3.3993887088596524,1.8263495,1.87941090347048,1.7536793778627375,1.893725028882424,1.8572480476523896
10595,0.9151,0.3075565221309662,0.99176,0.03415168642282486,-0.07665999999999996,0.5488201556406997,0.5808216298233898,0.5196946666864677,0.5429837976909414,0.5240435851096139,0.281975574678442,0.3562961972876833,0.25068774155122286,0.24353143112258188,0.23320079904415675,3.2885957,3.3425843885913538,3.200682274740737,3.4764994561230695,3.4547594675512987,2.02723,2.0611012928238273,1.989264373289695,1.9999041924642962,1.9618456449557309
10598,0.9156,0.2945978304386139,0.9947,0.025128433909416197,-0.07909999999999996,0.5214451440847471,0.5590718327045274,0.4868075246048412,0.488199552361419,0.461111342694945,0.268261554194628,0.3493004823079941,0.23196995564852124,0.22016924465982235,0.2058667070249866,3.3672562,3.423499353993144,3.2741704867475514,3.5684123382351327,3.5483127081381745,2.051471,2.1050876068017454,1.9864621273544043,2.0896480709922556,2.0277486791421886
10602,0.9157,0.3002899140834808,0.99032,0.03856207478523255,-0.07462000000000003,0.5444476076137201,0.5726839792294214,0.5235166993302547,0.5258038274158046,0.515964537944063,0.28559388819988096,0.3581902238127609,0.25500420699612414,0.24916326745875608,0.2389997528543986,3.284813,3.341429343707774,3.195087211122845,3.500700075008251,3.4762574949718417,1.8720042,1.923684186223609,1.8061975276997015,1.8932839762529678,1.8384512199874852
10624,0.8995000000000001,0.36922427644729616,0.9866800000000001,0.048815961931943895,-0.08718000000000004,0.6136944443416847,0.6594626156485297,0.568336247559122,0.5301062563511995,0.49717752957662814,0.5065908831893436,0.7178131235332663,0.3484385691426128,0.28815157188626583,0.2382849153046757,2.8751984,2.9907709864981085,2.736167342908264,3.3971435437618247,3.332065653340434,1.8232974,1.8796995447822002,1.751738598949008,1.929767093789859,1.88976015080107
10634,0.9101,0.3209435920715332,0.98894,0.04304311787128449,-0.07884000000000001,0.5803630999631386,0.6188455002284204,0.5465017354747729,0.5336411141054874,0.5122850863832586,0.3620856676576465,0.5123779608311713,0.2835941227120551,0.2861712684989496,0.24411321370595326,3.155032,3.217481869302622,3.0648486919586255,3.4387576392746597,3.402611001432792,1.9120754,1.969431321962241,1.8316505782228287,1.9734482417170633,1.912572260645923
